Learning Rate,Batch Size,Epochs,Test Loss,Accuracy,Micro ROC AUC,Macro ROC AUC
0.001,64,10,0.33845198678003774,0.915181315304241,0.9929440024896102,0.9925507950150667
0.001,64,50,0.8161815660788291,0.9116472034419176,0.9916568992712903,0.9913110858094558
0.001,64,200,1.6920351729286647,0.9048094652735095,0.9894196790589498,0.9887285274240304
0.001,128,10,0.29585375666033986,0.9173325138291334,0.9938546857923716,0.993743892322904
0.001,128,50,0.8249607092025233,0.9044637369391518,0.9910204488024783,0.9902206900092374
0.001,128,200,1.4862739787820507,0.9086508912108174,0.99078722442996,0.9901602998056266
0.0001,64,10,0.521560838716036,0.8431929932390904,0.9828001317785127,0.980764487361547
0.0001,64,50,0.541941387132634,0.9010064535955746,0.9906482840210249,0.9900216878472176
0.0001,64,200,1.320608374939577,0.8994314689612785,0.9902846942726544,0.9894487111742615
0.0001,128,10,0.5369820418018921,0.8408881376767056,0.981869422521322,0.9797501115745918
0.0001,128,50,0.4633731536713301,0.8862937922556853,0.9887674598193352,0.987852038570716
0.0001,128,200,1.3356440319296192,0.8960894283958205,0.9895416836176832,0.9886544177735994
